,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
38,NORMAL6,NORMAL4,"(496, 512)",62.34080505371094,0.21097087860107422,0.20394587516784668,0.001001119613647461,0.11701560020446777,0.3219625949859619
33,NORMAL6,NORMAL13,"(496, 512)",62.34569549560547,0.21097087860107422,0.20199942588806152,0.0019996166229248047,0.11700677871704102,0.32100582122802734
42,NORMAL6,NORMAL9,"(496, 512)",62.375762939453125,0.21097087860107422,0.20701932907104492,0.0009944438934326172,0.11497759819030762,0.32299137115478516
13,NORMAL6,AMD8,"(496, 512)",62.401123046875,0.21097087860107422,0.0800321102142334,0.0010008811950683594,0.11598062515258789,0.19701361656188965
28,NORMAL6,DME8,"(496, 512)",62.4011344909668,0.21097087860107422,0.152998685836792,0.00099945068359375,0.11601042747497559,0.27000856399536133
21,NORMAL6,DME15,"(496, 512)",62.40678405761719,0.21097087860107422,0.153031587600708,0.000993490219116211,0.11998414993286133,0.27400922775268555
31,NORMAL6,NORMAL10,"(496, 512)",62.40866470336914,0.21097087860107422,0.20799612998962402,0.0009915828704833984,0.1149909496307373,0.3239786624908447
27,NORMAL6,DME7,"(496, 512)",62.41629409790039,0.21097087860107422,0.1500251293182373,0.0009996891021728516,0.11697244644165039,0.26799726486206055
14,NORMAL6,AMD9,"(496, 512)",62.419612884521484,0.21097087860107422,0.20801758766174316,0.0009925365447998047,0.11497831344604492,0.3239884376525879
4,NORMAL6,AMD13,"(496, 512)",62.43633270263672,0.21097087860107422,0.08003020286560059,0.0009946823120117188,0.11500906944274902,0.19701313972473145
34,NORMAL6,NORMAL14,"(496, 512)",62.44026184082031,0.21097087860107422,0.21402478218078613,0.0009920597076416016,0.1159820556640625,0.33099889755249023
36,NORMAL6,NORMAL2,"(496, 512)",62.45185089111328,0.21097087860107422,0.20799875259399414,0.0009999275207519531,0.11600041389465332,0.3249990940093994
39,NORMAL6,NORMAL5,"(496, 512)",62.451995849609375,0.21097087860107422,0.20449161529541016,0.0010004043579101562,0.1150047779083252,0.3204967975616455
29,NORMAL6,DME9,"(496, 512)",62.452938079833984,0.21097087860107422,0.15102076530456543,0.0009987354278564453,0.11797094345092773,0.2699904441833496
40,NORMAL6,NORMAL7,"(496, 512)",62.454063415527344,0.21097087860107422,0.20802617073059082,0.0009915828704833984,0.11898303031921387,0.3280007839202881
37,NORMAL6,NORMAL3,"(496, 512)",62.45774841308594,0.21097087860107422,0.21002817153930664,0.0010044574737548828,0.1150214672088623,0.32605409622192383
11,NORMAL6,AMD6,"(496, 512)",62.4627799987793,0.21097087860107422,0.07899975776672363,0.0010013580322265625,0.11599874496459961,0.1959998607635498
26,NORMAL6,DME6,"(496, 512)",62.46883773803711,0.21097087860107422,0.2070012092590332,0.0009996891021728516,0.11600422859191895,0.324005126953125
30,NORMAL6,NORMAL1,"(496, 512)",62.479286193847656,0.21097087860107422,0.208024263381958,0.0009996891021728516,0.11901116371154785,0.3280351161956787
25,NORMAL6,DME5,"(496, 512)",62.480350494384766,0.21097087860107422,0.2069990634918213,0.0009987354278564453,0.11599946022033691,0.32399725914001465
18,NORMAL6,DME12,"(496, 512)",62.48972702026367,0.21097087860107422,0.15403175354003906,0.0009915828704833984,0.11697793006896973,0.2720012664794922
5,NORMAL6,AMD14,"(496, 512)",62.49461364746094,0.21097087860107422,0.20601987838745117,0.0,0.11896824836730957,0.32498812675476074
15,NORMAL6,DME1,"(496, 512)",62.50029373168945,0.21097087860107422,0.20597004890441895,0.0009989738464355469,0.11800074577331543,0.3259694576263428
24,NORMAL6,DME4,"(496, 512)",62.501686096191406,0.21097087860107422,0.21902823448181152,0.0010035037994384766,0.11996960639953613,0.34000134468078613
2,NORMAL6,AMD11,"(496, 512)",62.50868225097656,0.21097087860107422,0.08001494407653809,0.0,0.11898493766784668,0.19899988174438477
41,NORMAL6,NORMAL8,"(496, 512)",62.51191711425781,0.21097087860107422,0.19899463653564453,0.0010035037994384766,0.11500668525695801,0.315004825592041
35,NORMAL6,NORMAL15,"(496, 512)",62.51921844482422,0.21097087860107422,0.2019948959350586,0.0019998550415039062,0.11700320243835449,0.320997953414917
16,NORMAL6,DME10,"(496, 512)",62.53010177612305,0.21097087860107422,0.07900023460388184,0.0010030269622802734,0.11600661277770996,0.19600987434387207
32,NORMAL6,NORMAL12,"(496, 512)",62.54706573486328,0.21097087860107422,0.2049853801727295,0.0020003318786621094,0.1160125732421875,0.3229982852935791
17,NORMAL6,DME11,"(496, 512)",62.55268859863281,0.21097087860107422,0.15098953247070312,0.0010013580322265625,0.11599850654602051,0.2679893970489502
19,NORMAL6,DME13,"(496, 512)",62.589473724365234,0.21097087860107422,0.1520223617553711,0.0010023117065429688,0.11597967147827148,0.26900434494018555
22,NORMAL6,DME2,"(496, 512)",62.59091567993164,0.21097087860107422,0.21102023124694824,0.0010037422180175781,0.11497926712036133,0.32700324058532715
0,NORMAL6,AMD1,"(496, 512)",62.62240219116211,0.21097087860107422,0.10503268241882324,0.0009987354278564453,0.1159670352935791,0.22299742698669434
9,NORMAL6,AMD4,"(496, 512)",62.63776779174805,0.21097087860107422,0.07699990272521973,0.0009996891021728516,0.1180117130279541,0.19601130485534668
20,NORMAL6,DME14,"(496, 512)",62.64067459106445,0.21097087860107422,0.15403127670288086,0.0009915828704833984,0.11497640609741211,0.26999926567077637
8,NORMAL6,AMD3,"(496, 512)",62.6412467956543,0.21097087860107422,0.1020040512084961,0.0009925365447998047,0.1149742603302002,0.2179708480834961
7,NORMAL6,AMD2,"(496, 512)",62.64515686035156,0.21097087860107422,0.10599780082702637,0.0009756088256835938,0.11699438095092773,0.2239677906036377
