,query1,query2,size,siamese_distance
10,DME2,NORMAL15,"(496, 512)",58.10599136352539
4,DME2,DME6,"(496, 512)",58.59530258178711
1,DME2,DME3,"(496, 512)",58.78321075439453
11,DME2,NORMAL2,"(496, 512)",58.80021667480469
7,DME2,NORMAL12,"(496, 512)",58.828285217285156
2,DME2,DME4,"(496, 512)",58.97563171386719
0,DME2,DME1,"(496, 512)",59.09934997558594
18,DME2,NORMAL9,"(496, 512)",59.16687774658203
5,DME2,NORMAL1,"(496, 512)",59.18294143676758
12,DME2,NORMAL3,"(496, 512)",59.370094299316406
6,DME2,NORMAL10,"(496, 512)",59.52949523925781
16,DME2,NORMAL7,"(496, 512)",59.54045486450195
9,DME2,NORMAL14,"(496, 512)",59.583866119384766
14,DME2,NORMAL5,"(496, 512)",59.5877799987793
15,DME2,NORMAL6,"(496, 512)",59.62187957763672
8,DME2,NORMAL13,"(496, 512)",59.645721435546875
3,DME2,DME5,"(496, 512)",59.68495178222656
17,DME2,NORMAL8,"(496, 512)",59.889347076416016
13,DME2,NORMAL4,"(496, 512)",60.06524658203125
