,query1,query2,size,siamese_distance,time
19,NORMAL12,NORMAL15,"(496, 512)",62.15995407104492,0.30117130279541016
15,NORMAL12,NORMAL1,"(496, 512)",62.16807174682617,0.2957165241241455
21,NORMAL12,NORMAL3,"(496, 512)",62.243770599365234,0.3020179271697998
25,NORMAL12,NORMAL7,"(496, 512)",62.28238296508789,0.3002791404724121
9,NORMAL12,DME4,"(496, 512)",62.28767395019531,0.2881650924682617
12,NORMAL12,DME7,"(496, 512)",62.30406188964844,0.23436355590820312
16,NORMAL12,NORMAL10,"(496, 512)",62.31155014038086,0.312549352645874
24,NORMAL12,NORMAL6,"(496, 512)",62.329803466796875,0.29819297790527344
26,NORMAL12,NORMAL8,"(496, 512)",62.334251403808594,0.30657410621643066
3,NORMAL12,DME12,"(496, 512)",62.34130859375,0.24050021171569824
10,NORMAL12,DME5,"(496, 512)",62.36369705200195,0.31249570846557617
18,NORMAL12,NORMAL14,"(496, 512)",62.36534881591797,0.30031824111938477
20,NORMAL12,NORMAL2,"(496, 512)",62.381736755371094,0.2979273796081543
0,NORMAL12,DME1,"(496, 512)",62.403324127197266,0.2968864440917969
13,NORMAL12,DME8,"(496, 512)",62.40916061401367,0.2551090717315674
11,NORMAL12,DME6,"(496, 512)",62.422916412353516,0.3150608539581299
17,NORMAL12,NORMAL13,"(496, 512)",62.44545364379883,0.29915952682495117
4,NORMAL12,DME13,"(496, 512)",62.44569396972656,0.22423315048217773
23,NORMAL12,NORMAL5,"(496, 512)",62.45041275024414,0.29818272590637207
6,NORMAL12,DME15,"(496, 512)",62.48190689086914,0.22860240936279297
27,NORMAL12,NORMAL9,"(496, 512)",62.50813674926758,0.29754209518432617
22,NORMAL12,NORMAL4,"(496, 512)",62.55674743652344,0.293773889541626
7,NORMAL12,DME2,"(496, 512)",62.571044921875,0.2915933132171631
14,NORMAL12,DME9,"(496, 512)",62.61265563964844,0.24997973442077637
5,NORMAL12,DME14,"(496, 512)",62.64128494262695,0.24625921249389648
1,NORMAL12,DME10,"(496, 512)",62.78841781616211,0.1944565773010254
8,NORMAL12,DME3,"(496, 512)",62.87868118286133,0.2784912586212158
2,NORMAL12,DME11,"(496, 512)",62.91838073730469,0.2338552474975586
