,query1,query2,size,siamese_distance
11,DME12,DME7,"(496, 512)",62.46752166748047
22,DME12,NORMAL4,"(496, 512)",62.47854995727539
26,DME12,NORMAL8,"(496, 512)",62.48101806640625
9,DME12,DME5,"(496, 512)",62.50675964355469
5,DME12,DME15,"(496, 512)",62.51539993286133
15,DME12,NORMAL10,"(496, 512)",62.527793884277344
3,DME12,DME13,"(496, 512)",62.54619598388672
10,DME12,DME6,"(496, 512)",62.54753112792969
19,DME12,NORMAL15,"(496, 512)",62.550655364990234
12,DME12,DME8,"(496, 512)",62.56563949584961
0,DME12,DME1,"(496, 512)",62.57579803466797
8,DME12,DME4,"(496, 512)",62.60020446777344
16,DME12,NORMAL12,"(496, 512)",62.61430740356445
13,DME12,DME9,"(496, 512)",62.62623596191406
27,DME12,NORMAL9,"(496, 512)",62.660831451416016
14,DME12,NORMAL1,"(496, 512)",62.67066192626953
23,DME12,NORMAL5,"(496, 512)",62.68191909790039
21,DME12,NORMAL3,"(496, 512)",62.69403839111328
25,DME12,NORMAL7,"(496, 512)",62.69764709472656
18,DME12,NORMAL14,"(496, 512)",62.70510482788086
17,DME12,NORMAL13,"(496, 512)",62.710140228271484
6,DME12,DME2,"(496, 512)",62.72709655761719
7,DME12,DME3,"(496, 512)",62.74717330932617
20,DME12,NORMAL2,"(496, 512)",62.762725830078125
24,DME12,NORMAL6,"(496, 512)",62.775367736816406
2,DME12,DME11,"(496, 512)",62.795989990234375
4,DME12,DME14,"(496, 512)",62.79943084716797
1,DME12,DME10,"(496, 512)",62.806915283203125
