,query1,query2,size,siamese_distance,time
1,NORMAL14,AMD10,"(496, 512)",61.04929733276367,0.30296969413757324
8,NORMAL14,AMD3,"(496, 512)",61.1878776550293,0.20900583267211914
16,NORMAL14,NORMAL10,"(496, 512)",61.2374267578125,0.30899930000305176
26,NORMAL14,NORMAL8,"(496, 512)",61.326499938964844,0.30700016021728516
10,NORMAL14,AMD5,"(496, 512)",61.40566635131836,0.18202900886535645
19,NORMAL14,NORMAL15,"(496, 512)",61.44464111328125,0.31404876708984375
4,NORMAL14,AMD13,"(496, 512)",61.4464225769043,0.18302512168884277
13,NORMAL14,AMD8,"(496, 512)",61.453948974609375,0.18402361869812012
17,NORMAL14,NORMAL12,"(496, 512)",61.46727752685547,0.30399394035339355
24,NORMAL14,NORMAL6,"(496, 512)",61.486976623535156,0.3071467876434326
9,NORMAL14,AMD4,"(496, 512)",61.515869140625,0.1860034465789795
14,NORMAL14,AMD9,"(496, 512)",61.52588653564453,0.3009984493255615
21,NORMAL14,NORMAL3,"(496, 512)",61.52617645263672,0.3096911907196045
12,NORMAL14,AMD7,"(496, 512)",61.533592224121094,0.30709266662597656
6,NORMAL14,AMD15,"(496, 512)",61.54657745361328,0.20601153373718262
22,NORMAL14,NORMAL4,"(496, 512)",61.5977897644043,0.3180124759674072
15,NORMAL14,NORMAL1,"(496, 512)",61.598289489746094,0.31000828742980957
25,NORMAL14,NORMAL7,"(496, 512)",61.61075210571289,0.31702184677124023
5,NORMAL14,AMD14,"(496, 512)",61.63264846801758,0.29988598823547363
2,NORMAL14,AMD11,"(496, 512)",61.6332893371582,0.18800091743469238
20,NORMAL14,NORMAL2,"(496, 512)",61.634273529052734,0.3089568614959717
7,NORMAL14,AMD2,"(496, 512)",61.65256881713867,0.2120044231414795
3,NORMAL14,AMD12,"(496, 512)",61.68697738647461,0.18215227127075195
11,NORMAL14,AMD6,"(496, 512)",61.72287368774414,0.18195605278015137
0,NORMAL14,AMD1,"(496, 512)",61.83012390136719,0.2050318717956543
18,NORMAL14,NORMAL13,"(496, 512)",61.84779739379883,0.3119969367980957
23,NORMAL14,NORMAL5,"(496, 512)",61.856483459472656,0.31298828125
27,NORMAL14,NORMAL9,"(496, 512)",61.879798889160156,0.31403565406799316
