,query1,query2,size,siamese_distance
13,NORMAL14,NORMAL4,"(496, 512)",61.88406753540039
9,NORMAL14,NORMAL13,"(496, 512)",61.88412094116211
16,NORMAL14,NORMAL7,"(496, 512)",61.89439392089844
17,NORMAL14,NORMAL8,"(496, 512)",61.89777374267578
15,NORMAL14,NORMAL6,"(496, 512)",61.901611328125
12,NORMAL14,NORMAL3,"(496, 512)",61.90182876586914
7,NORMAL14,NORMAL10,"(496, 512)",61.91425323486328
1,NORMAL14,DME2,"(496, 512)",61.930320739746094
10,NORMAL14,NORMAL15,"(496, 512)",61.96092987060547
11,NORMAL14,NORMAL2,"(496, 512)",61.96271514892578
3,NORMAL14,DME4,"(496, 512)",61.96415328979492
6,NORMAL14,NORMAL1,"(496, 512)",61.96448516845703
8,NORMAL14,NORMAL12,"(496, 512)",61.97579574584961
14,NORMAL14,NORMAL5,"(496, 512)",61.9794807434082
4,NORMAL14,DME5,"(496, 512)",61.98173904418945
18,NORMAL14,NORMAL9,"(496, 512)",61.98455810546875
5,NORMAL14,DME6,"(496, 512)",62.00841522216797
0,NORMAL14,DME1,"(496, 512)",62.02058410644531
2,NORMAL14,DME3,"(496, 512)",62.07582473754883
