,query1,query2,size,siamese_distance
14,DME13,NORMAL1,"(496, 512)",61.22315979003906
21,DME13,NORMAL3,"(496, 512)",61.251163482666016
16,DME13,NORMAL12,"(496, 512)",61.274505615234375
8,DME13,DME4,"(496, 512)",61.30763626098633
19,DME13,NORMAL15,"(496, 512)",61.33806610107422
15,DME13,NORMAL10,"(496, 512)",61.35594940185547
18,DME13,NORMAL14,"(496, 512)",61.39675521850586
24,DME13,NORMAL6,"(496, 512)",61.41733169555664
20,DME13,NORMAL2,"(496, 512)",61.42958450317383
26,DME13,NORMAL8,"(496, 512)",61.441558837890625
25,DME13,NORMAL7,"(496, 512)",61.44208908081055
17,DME13,NORMAL13,"(496, 512)",61.453861236572266
10,DME13,DME6,"(496, 512)",61.49883270263672
27,DME13,NORMAL9,"(496, 512)",61.50873947143555
3,DME13,DME12,"(496, 512)",61.54694747924805
22,DME13,NORMAL4,"(496, 512)",61.552066802978516
4,DME13,DME14,"(496, 512)",61.55538558959961
7,DME13,DME3,"(496, 512)",61.55844497680664
9,DME13,DME5,"(496, 512)",61.560638427734375
23,DME13,NORMAL5,"(496, 512)",61.60309600830078
5,DME13,DME15,"(496, 512)",61.61823654174805
2,DME13,DME11,"(496, 512)",61.62838363647461
11,DME13,DME7,"(496, 512)",61.64128875732422
12,DME13,DME8,"(496, 512)",61.65358352661133
0,DME13,DME1,"(496, 512)",61.667293548583984
1,DME13,DME10,"(496, 512)",61.70168685913086
6,DME13,DME2,"(496, 512)",61.74291229248047
13,DME13,DME9,"(496, 512)",61.8773078918457
