,query1,query2,size,siamese_distance
8,DME2,NORMAL13,"(496, 512)",62.05896759033203
0,DME2,DME1,"(496, 512)",62.05914306640625
14,DME2,NORMAL5,"(496, 512)",62.059146881103516
18,DME2,NORMAL9,"(496, 512)",62.05937576293945
9,DME2,NORMAL14,"(496, 512)",62.05961227416992
3,DME2,DME5,"(496, 512)",62.05965042114258
6,DME2,NORMAL10,"(496, 512)",62.06027603149414
16,DME2,NORMAL7,"(496, 512)",62.0609130859375
4,DME2,DME6,"(496, 512)",62.06093978881836
12,DME2,NORMAL3,"(496, 512)",62.06112289428711
13,DME2,NORMAL4,"(496, 512)",62.06116485595703
15,DME2,NORMAL6,"(496, 512)",62.06132125854492
17,DME2,NORMAL8,"(496, 512)",62.06139373779297
1,DME2,DME3,"(496, 512)",62.06169509887695
5,DME2,NORMAL1,"(496, 512)",62.062278747558594
10,DME2,NORMAL15,"(496, 512)",62.062950134277344
7,DME2,NORMAL12,"(496, 512)",62.06303405761719
2,DME2,DME4,"(496, 512)",62.06308364868164
11,DME2,NORMAL2,"(496, 512)",62.06366729736328
