,query1,query2,size,siamese_distance,time
31,NORMAL5,NORMAL10,"(496, 512)",62.31301498413086,0.2812674045562744
17,NORMAL5,DME11,"(496, 512)",62.33360290527344,0.25000643730163574
25,NORMAL5,DME5,"(496, 512)",62.35248947143555,0.2968752384185791
2,NORMAL5,AMD11,"(496, 512)",62.35748291015625,0.1718759536743164
28,NORMAL5,DME8,"(496, 512)",62.36111068725586,0.24999046325683594
29,NORMAL5,DME9,"(496, 512)",62.36174392700195,0.23436188697814941
21,NORMAL5,DME15,"(496, 512)",62.37171936035156,0.25000548362731934
33,NORMAL5,NORMAL13,"(496, 512)",62.38786315917969,0.2812225818634033
26,NORMAL5,DME6,"(496, 512)",62.39055633544922,0.28127217292785645
34,NORMAL5,NORMAL14,"(496, 512)",62.39866638183594,0.29689598083496094
11,NORMAL5,AMD6,"(496, 512)",62.39921188354492,0.1718764305114746
5,NORMAL5,AMD14,"(496, 512)",62.402381896972656,0.28127169609069824
14,NORMAL5,AMD9,"(496, 512)",62.409515380859375,0.2812502384185791
42,NORMAL5,NORMAL9,"(496, 512)",62.41239547729492,0.2969048023223877
19,NORMAL5,DME13,"(496, 512)",62.4138298034668,0.2499997615814209
18,NORMAL5,DME12,"(496, 512)",62.423614501953125,0.23436903953552246
38,NORMAL5,NORMAL4,"(496, 512)",62.4246826171875,0.29685378074645996
16,NORMAL5,DME10,"(496, 512)",62.42709732055664,0.171875
22,NORMAL5,DME2,"(496, 512)",62.44889831542969,0.2968924045562744
39,NORMAL5,NORMAL6,"(496, 512)",62.45199966430664,0.2968747615814209
41,NORMAL5,NORMAL8,"(496, 512)",62.4538688659668,0.28122806549072266
27,NORMAL5,DME7,"(496, 512)",62.464473724365234,0.2499997615814209
15,NORMAL5,DME1,"(496, 512)",62.477081298828125,0.2968747615814209
9,NORMAL5,AMD4,"(496, 512)",62.50388717651367,0.1718730926513672
20,NORMAL5,DME14,"(496, 512)",62.51374435424805,0.2343757152557373
12,NORMAL5,AMD7,"(496, 512)",62.531517028808594,0.2968747615814209
40,NORMAL5,NORMAL7,"(496, 512)",62.54161834716797,0.28127121925354004
13,NORMAL5,AMD8,"(496, 512)",62.54716491699219,0.17189574241638184
0,NORMAL5,AMD1,"(496, 512)",62.564979553222656,0.2031114101409912
7,NORMAL5,AMD2,"(496, 512)",62.57196807861328,0.18749594688415527
3,NORMAL5,AMD12,"(496, 512)",62.57243728637695,0.17188024520874023
37,NORMAL5,NORMAL3,"(496, 512)",62.584144592285156,0.2812693119049072
1,NORMAL5,AMD10,"(496, 512)",62.58639144897461,0.2812502384185791
35,NORMAL5,NORMAL15,"(496, 512)",62.59542465209961,0.2812504768371582
4,NORMAL5,AMD13,"(496, 512)",62.59980010986328,0.18747305870056152
32,NORMAL5,NORMAL12,"(496, 512)",62.60759735107422,0.296875
30,NORMAL5,NORMAL1,"(496, 512)",62.62517547607422,0.2968862056732178
24,NORMAL5,DME4,"(496, 512)",62.66640853881836,0.29685306549072266
36,NORMAL5,NORMAL2,"(496, 512)",62.671512603759766,0.28122925758361816
23,NORMAL5,DME3,"(496, 512)",62.6898307800293,0.28122615814208984
8,NORMAL5,AMD3,"(496, 512)",62.725860595703125,0.20313096046447754
6,NORMAL5,AMD15,"(496, 512)",62.76252746582031,0.20313072204589844
10,NORMAL5,AMD5,"(496, 512)",62.78474426269531,0.17184662818908691
